#	username	year	quote	answer	flavour text
1	Dotozhi	2024	"I'll $$ITEM$$ after [insert thing]"	sleep	"swears to $$ITEM$$ after [insert thing]", then doesnt $$ITEM$$ after [said thing]
2	Meadow	2024	"I'm not a stalker! This $$ITEM$$..."	birb	
3	Min	2024	"you being the $$ITEM$$ makes sense since you disappear on people /j"	dad	
4	Dotozhi	2024	"$$ITEM$$ makes me come"	anime	
5	Dotozhi	2024	“couch sneaker $$ITEM$$ my face!”	lick	
6	Dotozhi	2024	"$$ITEM$$ pisser!"	yummy	
7	Dotozhi	2024	"Why'd you have to miss my anal bead $$ITEM$$?"	debut	
8	Dotozhi	2024	"I do want $$ITEM$$"	TITS	
9	Dotozhi	2024	"Imma bite a $$ITEM$$"	twink	
10	Dotozhi	2024	"You're going to $$ITEM$$ on me"	step	
11	Dotozhi	2024	"That's right, $$ITEM$$ on me"	step	
12	Dotozhi	2024	"Remember to spam anal $$ITEM$$ on my 2.0 debut!" [...] "Please add JK to that"	beads	
13	Max	2024	"it was a $$ITEM$$ run"	goon	(*good typo)
14	Dotozhi	2024	"$$ITEM$$ out? My $$ITEM$$ are not out, gimme a second. NONONO-"	TITS	
15	Dotozhi	2024	"$$ITEM$$ $$ITEM$$"	WOOF	at meadow
16	Dotozhi	2024	"yummy $$ITEM$$er when i need to $$ITEM$$"	piss	
17	Floofi	2024	"blowing the $$ITEM$$ back out yeehaw"	mics	
18	Dotozhi	2024	"Who wouldn't want U-san to $$ITEM$$ on them with high heels"	step	denying not wanting to be $$ITEM$$ed on
19	Dotozhi	2024	"You guys should $$ITEM$$ on me"	step	
20	Dotozhi	2024	"skibidi $$ITEM$$ toy. I want, i need"	toilet	
21	Dotozhi	2024	"a lot of $$ITEM$$ usage here, i had to do the chin tuck and swallow"	tongue	
22	flamaramelimelon	2024	"beat the $$ITEM$$ MaxLOL "	meat	
23	Dotozhi	2024	"i shouldnt $$ITEM$$ like that"	suck	
24	Dotozhi	2024	"YEAH $$ITEM$$ ME"	LICK	
